"filename", "language", "JSON", "CSS", "PHP", "JavaScript", "XML", "Markdown", "SCSS", "comment", "blank", "total"
"f:\programming\projects\Rcomputer-project\back-end\README.md", "Markdown", 0, 0, 0, 0, 0, 45, 0, 0, 22, 67
"f:\programming\projects\Rcomputer-project\back-end\app\Charts\Informations.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 5, 4, 19
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Controllers\AdminsController.php", "PHP", 0, 0, 73, 0, 0, 0, 0, 25, 17, 115
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Controllers\AuthController.php", "PHP", 0, 0, 68, 0, 0, 0, 0, 1, 14, 83
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Controllers\Auth\ConfirmPasswordController.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 20, 7, 40
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Controllers\Auth\ForgotPasswordController.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 10, 5, 23
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Controllers\Auth\LoginController.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 21, 7, 40
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Controllers\Auth\RegisterController.php", "PHP", 0, 0, 31, 0, 0, 0, 0, 33, 9, 73
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Controllers\Auth\ResetPasswordController.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 15, 6, 30
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Controllers\Auth\VerificationController.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 20, 7, 42
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Controllers\BrandsController.php", "PHP", 0, 0, 70, 0, 0, 0, 0, 22, 19, 111
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Controllers\CategoriesController.php", "PHP", 0, 0, 69, 0, 0, 0, 0, 22, 18, 109
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Controllers\ClientsController.php", "PHP", 0, 0, 47, 0, 0, 0, 0, 26, 13, 86
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Controllers\Controller.php", "PHP", 0, 0, 5, 0, 0, 0, 0, 1, 3, 9
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Controllers\DashboardController.php", "PHP", 0, 0, 82, 0, 0, 0, 0, 0, 11, 93
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Controllers\HomeController.php", "PHP", 0, 0, 14, 0, 0, 0, 0, 10, 5, 29
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Controllers\MessagesController.php", "PHP", 0, 0, 56, 0, 0, 0, 0, 0, 13, 69
